frame,id,x1,y1,x2,y2,confidence,class_id
252,2,810.3460693359375,397.3475646972656,1671.758544921875,735.8291625976562,1.0,30
-1,2,810.3460693359375,397.3475646972656,1671.758544921875,735.8291625976562,1.0,30
-1,2,810.3460693359375,397.3475646972656,1671.758544921875,735.8291625976562,1.0,30
-1,2,810.3460693359375,397.3475646972656,1671.758544921875,735.8291625976562,1.0,30
-1,2,810.3460693359375,397.3475646972656,1671.758544921875,735.8291625976562,1.0,30
257,2,797.91796875,396.1712951660156,1662.657470703125,736.8433837890625,1.0,4
258,2,784.6834716796875,391.50384521484375,1661.4334716796875,732.7827758789062,1.0,30
259,2,797.1328125,393.53741455078125,1658.619140625,733.3365478515625,1.0,4
-1,2,797.1328125,393.53741455078125,1658.619140625,733.3365478515625,1.0,4
261,2,763.3624877929688,392.9566955566406,1652.4312744140625,721.910400390625,1.0,4
262,2,750.3455200195312,391.1033020019531,1642.9183349609375,718.9283447265625,1.0,4
263,2,753.1534423828125,390.60498046875,1651.052490234375,716.3080444335938,1.0,4
264,2,749.2282104492188,389.720947265625,1652.3673095703125,715.79150390625,1.0,4
265,2,742.6168212890625,391.55108642578125,1649.64111328125,712.8191528320312,1.0,4
266,2,742.5726928710938,391.1776428222656,1645.2769775390625,715.988037109375,1.0,4
267,2,740.6495361328125,379.30224609375,1642.7901611328125,711.70458984375,1.0,4
268,2,733.5134887695312,381.9337463378906,1644.60498046875,708.661376953125,1.0,30
269,2,737.5486450195312,381.251953125,1646.8291015625,708.8009033203125,1.0,4
270,2,726.847412109375,376.24859619140625,1644.1239013671875,706.6133422851562,1.0,30
271,2,723.7880249023438,373.59375,1647.4866943359375,707.1220703125,1.0,4
272,2,728.6239013671875,366.2500305175781,1645.46630859375,708.7175903320312,1.0,4
273,2,727.1839599609375,366.3683166503906,1648.9464111328125,705.923095703125,1.0,4
274,2,717.0223388671875,362.9248352050781,1647.3292236328125,710.6051025390625,1.0,4
275,2,717.0208740234375,364.0697021484375,1647.34130859375,699.78369140625,1.0,4
276,2,718.7850952148438,364.70233154296875,1642.2198486328125,702.757568359375,1.0,4
277,2,702.1613159179688,362.3506164550781,1644.5113525390625,696.9424438476562,1.0,4
278,2,704.1650390625,362.53326416015625,1646.0361328125,697.2769775390625,1.0,4
279,2,698.004638671875,362.2488098144531,1639.27197265625,696.5017700195312,1.0,4
280,2,706.6025390625,359.3678283691406,1634.635986328125,695.19384765625,1.0,4
281,2,700.4686889648438,361.29949951171875,1634.781005859375,692.6735229492188,1.0,4
282,2,692.8934326171875,363.689208984375,1642.670654296875,683.8670654296875,1.0,30
-1,2,692.8934326171875,363.689208984375,1642.670654296875,683.8670654296875,1.0,30
-1,2,692.8934326171875,363.689208984375,1642.670654296875,683.8670654296875,1.0,30
285,2,682.8400268554688,357.4283752441406,1640.4700927734375,679.65234375,1.0,4
286,2,664.841064453125,353.7117919921875,1638.4183349609375,678.2943115234375,1.0,4
287,2,669.3609008789062,349.0965270996094,1631.037353515625,674.1094360351562,1.0,4
288,2,668.243408203125,350.7027282714844,1627.259765625,671.6063842773438,1.0,4
